block_geoid,Geographic Area Name
480291101001062,"Block 1062, Block Group 1, Census Tract 1101, Bexar County, Texas"
480291101001063,"Block 1063, Block Group 1, Census Tract 1101, Bexar County, Texas"
480291101001064,"Block 1064, Block Group 1, Census Tract 1101, Bexar County, Texas"
480291101001065,"Block 1065, Block Group 1, Census Tract 1101, Bexar County, Texas"
480291101001066,"Block 1066, Block Group 1, Census Tract 1101, Bexar County, Texas"
480291101001067,"Block 1067, Block Group 1, Census Tract 1101, Bexar County, Texas"
480291101001068,"Block 1068, Block Group 1, Census Tract 1101, Bexar County, Texas"
480291101001069,"Block 1069, Block Group 1, Census Tract 1101, Bexar County, Texas"
480291101001070,"Block 1070, Block Group 1, Census Tract 1101, Bexar County, Texas"
480291101001071,"Block 1071, Block Group 1, Census Tract 1101, Bexar County, Texas"
480291101001072,"Block 1072, Block Group 1, Census Tract 1101, Bexar County, Texas"
480291101001073,"Block 1073, Block Group 1, Census Tract 1101, Bexar County, Texas"
480291101001074,"Block 1074, Block Group 1, Census Tract 1101, Bexar County, Texas"
480291101001075,"Block 1075, Block Group 1, Census Tract 1101, Bexar County, Texas"
480291101001076,"Block 1076, Block Group 1, Census Tract 1101, Bexar County, Texas"
480291101001077,"Block 1077, Block Group 1, Census Tract 1101, Bexar County, Texas"
480291101001078,"Block 1078, Block Group 1, Census Tract 1101, Bexar County, Texas"
480291101001079,"Block 1079, Block Group 1, Census Tract 1101, Bexar County, Texas"
480291101001080,"Block 1080, Block Group 1, Census Tract 1101, Bexar County, Texas"
480291101001081,"Block 1081, Block Group 1, Census Tract 1101, Bexar County, Texas"
480291101001082,"Block 1082, Block Group 1, Census Tract 1101, Bexar County, Texas"
480291101001083,"Block 1083, Block Group 1, Census Tract 1101, Bexar County, Texas"
480291101001084,"Block 1084, Block Group 1, Census Tract 1101, Bexar County, Texas"
480291101001085,"Block 1085, Block Group 1, Census Tract 1101, Bexar County, Texas"
480291101001086,"Block 1086, Block Group 1, Census Tract 1101, Bexar County, Texas"
480291101001087,"Block 1087, Block Group 1, Census Tract 1101, Bexar County, Texas"
480291101001088,"Block 1088, Block Group 1, Census Tract 1101, Bexar County, Texas"
480291101001089,"Block 1089, Block Group 1, Census Tract 1101, Bexar County, Texas"
480291101001090,"Block 1090, Block Group 1, Census Tract 1101, Bexar County, Texas"
480291101001091,"Block 1091, Block Group 1, Census Tract 1101, Bexar County, Texas"
480291101001092,"Block 1092, Block Group 1, Census Tract 1101, Bexar County, Texas"
480291101001093,"Block 1093, Block Group 1, Census Tract 1101, Bexar County, Texas"
480291101001094,"Block 1094, Block Group 1, Census Tract 1101, Bexar County, Texas"
480291101001095,"Block 1095, Block Group 1, Census Tract 1101, Bexar County, Texas"
480291101001096,"Block 1096, Block Group 1, Census Tract 1101, Bexar County, Texas"
480291101001097,"Block 1097, Block Group 1, Census Tract 1101, Bexar County, Texas"
480291101001098,"Block 1098, Block Group 1, Census Tract 1101, Bexar County, Texas"
480291101001099,"Block 1099, Block Group 1, Census Tract 1101, Bexar County, Texas"
480291101001100,"Block 1100, Block Group 1, Census Tract 1101, Bexar County, Texas"
480291101001101,"Block 1101, Block Group 1, Census Tract 1101, Bexar County, Texas"
480291101001102,"Block 1102, Block Group 1, Census Tract 1101, Bexar County, Texas"
480291101001103,"Block 1103, Block Group 1, Census Tract 1101, Bexar County, Texas"
480291101001104,"Block 1104, Block Group 1, Census Tract 1101, Bexar County, Texas"
480291101001105,"Block 1105, Block Group 1, Census Tract 1101, Bexar County, Texas"
480291101001106,"Block 1106, Block Group 1, Census Tract 1101, Bexar County, Texas"
480291101001107,"Block 1107, Block Group 1, Census Tract 1101, Bexar County, Texas"
480291101001108,"Block 1108, Block Group 1, Census Tract 1101, Bexar County, Texas"
480291101001109,"Block 1109, Block Group 1, Census Tract 1101, Bexar County, Texas"
480291101001110,"Block 1110, Block Group 1, Census Tract 1101, Bexar County, Texas"
480291101001111,"Block 1111, Block Group 1, Census Tract 1101, Bexar County, Texas"
480291101001112,"Block 1112, Block Group 1, Census Tract 1101, Bexar County, Texas"
480291101001113,"Block 1113, Block Group 1, Census Tract 1101, Bexar County, Texas"
480291101001114,"Block 1114, Block Group 1, Census Tract 1101, Bexar County, Texas"
480291101001115,"Block 1115, Block Group 1, Census Tract 1101, Bexar County, Texas"
480291101001116,"Block 1116, Block Group 1, Census Tract 1101, Bexar County, Texas"
480291101001117,"Block 1117, Block Group 1, Census Tract 1101, Bexar County, Texas"
480291101001118,"Block 1118, Block Group 1, Census Tract 1101, Bexar County, Texas"
480291101001119,"Block 1119, Block Group 1, Census Tract 1101, Bexar County, Texas"
480291101001120,"Block 1120, Block Group 1, Census Tract 1101, Bexar County, Texas"
480291101001121,"Block 1121, Block Group 1, Census Tract 1101, Bexar County, Texas"
480291101001122,"Block 1122, Block Group 1, Census Tract 1101, Bexar County, Texas"
480291101001123,"Block 1123, Block Group 1, Census Tract 1101, Bexar County, Texas"
480291101001124,"Block 1124, Block Group 1, Census Tract 1101, Bexar County, Texas"
480291101001125,"Block 1125, Block Group 1, Census Tract 1101, Bexar County, Texas"
480291101002000,"Block 2000, Block Group 2, Census Tract 1101, Bexar County, Texas"
480291101002001,"Block 2001, Block Group 2, Census Tract 1101, Bexar County, Texas"
480291101002002,"Block 2002, Block Group 2, Census Tract 1101, Bexar County, Texas"
480291101002003,"Block 2003, Block Group 2, Census Tract 1101, Bexar County, Texas"
480291101002004,"Block 2004, Block Group 2, Census Tract 1101, Bexar County, Texas"
480291101002005,"Block 2005, Block Group 2, Census Tract 1101, Bexar County, Texas"
480291101002006,"Block 2006, Block Group 2, Census Tract 1101, Bexar County, Texas"
480291101002007,"Block 2007, Block Group 2, Census Tract 1101, Bexar County, Texas"
480291101002008,"Block 2008, Block Group 2, Census Tract 1101, Bexar County, Texas"
480291101002009,"Block 2009, Block Group 2, Census Tract 1101, Bexar County, Texas"
480291101002010,"Block 2010, Block Group 2, Census Tract 1101, Bexar County, Texas"
480291101002011,"Block 2011, Block Group 2, Census Tract 1101, Bexar County, Texas"
480291101002012,"Block 2012, Block Group 2, Census Tract 1101, Bexar County, Texas"
480291101002013,"Block 2013, Block Group 2, Census Tract 1101, Bexar County, Texas"
480291101002014,"Block 2014, Block Group 2, Census Tract 1101, Bexar County, Texas"
480291101002015,"Block 2015, Block Group 2, Census Tract 1101, Bexar County, Texas"
480291101002016,"Block 2016, Block Group 2, Census Tract 1101, Bexar County, Texas"
480291101002017,"Block 2017, Block Group 2, Census Tract 1101, Bexar County, Texas"
480291101002018,"Block 2018, Block Group 2, Census Tract 1101, Bexar County, Texas"
480291101002019,"Block 2019, Block Group 2, Census Tract 1101, Bexar County, Texas"
480291101002020,"Block 2020, Block Group 2, Census Tract 1101, Bexar County, Texas"
480291101002021,"Block 2021, Block Group 2, Census Tract 1101, Bexar County, Texas"
480291101002022,"Block 2022, Block Group 2, Census Tract 1101, Bexar County, Texas"
480291101002023,"Block 2023, Block Group 2, Census Tract 1101, Bexar County, Texas"
480291101002024,"Block 2024, Block Group 2, Census Tract 1101, Bexar County, Texas"
480291101002025,"Block 2025, Block Group 2, Census Tract 1101, Bexar County, Texas"
480291101002026,"Block 2026, Block Group 2, Census Tract 1101, Bexar County, Texas"
480291101002027,"Block 2027, Block Group 2, Census Tract 1101, Bexar County, Texas"
480291101002028,"Block 2028, Block Group 2, Census Tract 1101, Bexar County, Texas"
480291101002029,"Block 2029, Block Group 2, Census Tract 1101, Bexar County, Texas"
480291101002030,"Block 2030, Block Group 2, Census Tract 1101, Bexar County, Texas"
480291101002031,"Block 2031, Block Group 2, Census Tract 1101, Bexar County, Texas"
480291101002032,"Block 2032, Block Group 2, Census Tract 1101, Bexar County, Texas"
480291101002033,"Block 2033, Block Group 2, Census Tract 1101, Bexar County, Texas"
480291101002034,"Block 2034, Block Group 2, Census Tract 1101, Bexar County, Texas"
480291101002035,"Block 2035, Block Group 2, Census Tract 1101, Bexar County, Texas"
480291101002036,"Block 2036, Block Group 2, Census Tract 1101, Bexar County, Texas"
480291101002037,"Block 2037, Block Group 2, Census Tract 1101, Bexar County, Texas"
480291101002038,"Block 2038, Block Group 2, Census Tract 1101, Bexar County, Texas"
480291101002039,"Block 2039, Block Group 2, Census Tract 1101, Bexar County, Texas"
480291101002040,"Block 2040, Block Group 2, Census Tract 1101, Bexar County, Texas"
480291101002041,"Block 2041, Block Group 2, Census Tract 1101, Bexar County, Texas"
480291101002042,"Block 2042, Block Group 2, Census Tract 1101, Bexar County, Texas"
480291101002043,"Block 2043, Block Group 2, Census Tract 1101, Bexar County, Texas"
480291101002044,"Block 2044, Block Group 2, Census Tract 1101, Bexar County, Texas"
480291101002045,"Block 2045, Block Group 2, Census Tract 1101, Bexar County, Texas"
480291101002046,"Block 2046, Block Group 2, Census Tract 1101, Bexar County, Texas"
480291101002047,"Block 2047, Block Group 2, Census Tract 1101, Bexar County, Texas"
480291101002048,"Block 2048, Block Group 2, Census Tract 1101, Bexar County, Texas"
480291101002049,"Block 2049, Block Group 2, Census Tract 1101, Bexar County, Texas"
480291101002050,"Block 2050, Block Group 2, Census Tract 1101, Bexar County, Texas"
480291101002051,"Block 2051, Block Group 2, Census Tract 1101, Bexar County, Texas"
480291101002052,"Block 2052, Block Group 2, Census Tract 1101, Bexar County, Texas"
480291101002053,"Block 2053, Block Group 2, Census Tract 1101, Bexar County, Texas"
480291101002054,"Block 2054, Block Group 2, Census Tract 1101, Bexar County, Texas"
480291101003000,"Block 3000, Block Group 3, Census Tract 1101, Bexar County, Texas"
480291101003001,"Block 3001, Block Group 3, Census Tract 1101, Bexar County, Texas"
480291101003002,"Block 3002, Block Group 3, Census Tract 1101, Bexar County, Texas"
480291101003003,"Block 3003, Block Group 3, Census Tract 1101, Bexar County, Texas"
480291101003004,"Block 3004, Block Group 3, Census Tract 1101, Bexar County, Texas"
480291101003005,"Block 3005, Block Group 3, Census Tract 1101, Bexar County, Texas"
480291101003006,"Block 3006, Block Group 3, Census Tract 1101, Bexar County, Texas"
480291101003007,"Block 3007, Block Group 3, Census Tract 1101, Bexar County, Texas"
480291101003008,"Block 3008, Block Group 3, Census Tract 1101, Bexar County, Texas"
480291101003009,"Block 3009, Block Group 3, Census Tract 1101, Bexar County, Texas"
480291101003010,"Block 3010, Block Group 3, Census Tract 1101, Bexar County, Texas"
480291101003011,"Block 3011, Block Group 3, Census Tract 1101, Bexar County, Texas"
480291101003012,"Block 3012, Block Group 3, Census Tract 1101, Bexar County, Texas"
480291101003013,"Block 3013, Block Group 3, Census Tract 1101, Bexar County, Texas"
480291101003014,"Block 3014, Block Group 3, Census Tract 1101, Bexar County, Texas"
480291101003015,"Block 3015, Block Group 3, Census Tract 1101, Bexar County, Texas"
480291101003016,"Block 3016, Block Group 3, Census Tract 1101, Bexar County, Texas"
480291101003017,"Block 3017, Block Group 3, Census Tract 1101, Bexar County, Texas"
480291101003018,"Block 3018, Block Group 3, Census Tract 1101, Bexar County, Texas"
480291101003019,"Block 3019, Block Group 3, Census Tract 1101, Bexar County, Texas"
480291101003020,"Block 3020, Block Group 3, Census Tract 1101, Bexar County, Texas"
480291101003021,"Block 3021, Block Group 3, Census Tract 1101, Bexar County, Texas"
480291101003022,"Block 3022, Block Group 3, Census Tract 1101, Bexar County, Texas"
480291101003023,"Block 3023, Block Group 3, Census Tract 1101, Bexar County, Texas"
480291101003024,"Block 3024, Block Group 3, Census Tract 1101, Bexar County, Texas"
480291101003025,"Block 3025, Block Group 3, Census Tract 1101, Bexar County, Texas"
480291101003026,"Block 3026, Block Group 3, Census Tract 1101, Bexar County, Texas"
480291101003027,"Block 3027, Block Group 3, Census Tract 1101, Bexar County, Texas"
480291101003028,"Block 3028, Block Group 3, Census Tract 1101, Bexar County, Texas"
480291101003029,"Block 3029, Block Group 3, Census Tract 1101, Bexar County, Texas"
480291101003030,"Block 3030, Block Group 3, Census Tract 1101, Bexar County, Texas"
480291101003031,"Block 3031, Block Group 3, Census Tract 1101, Bexar County, Texas"
480291101003032,"Block 3032, Block Group 3, Census Tract 1101, Bexar County, Texas"
480291101003033,"Block 3033, Block Group 3, Census Tract 1101, Bexar County, Texas"
480291101003034,"Block 3034, Block Group 3, Census Tract 1101, Bexar County, Texas"
480291101003035,"Block 3035, Block Group 3, Census Tract 1101, Bexar County, Texas"
480291101003036,"Block 3036, Block Group 3, Census Tract 1101, Bexar County, Texas"
480291101003037,"Block 3037, Block Group 3, Census Tract 1101, Bexar County, Texas"
480291101003038,"Block 3038, Block Group 3, Census Tract 1101, Bexar County, Texas"
480291101003039,"Block 3039, Block Group 3, Census Tract 1101, Bexar County, Texas"
480291101003040,"Block 3040, Block Group 3, Census Tract 1101, Bexar County, Texas"
480291101003041,"Block 3041, Block Group 3, Census Tract 1101, Bexar County, Texas"
480291101003042,"Block 3042, Block Group 3, Census Tract 1101, Bexar County, Texas"
480291101003043,"Block 3043, Block Group 3, Census Tract 1101, Bexar County, Texas"
480291101003044,"Block 3044, Block Group 3, Census Tract 1101, Bexar County, Texas"
480291101003045,"Block 3045, Block Group 3, Census Tract 1101, Bexar County, Texas"
480291101003046,"Block 3046, Block Group 3, Census Tract 1101, Bexar County, Texas"
480291101003047,"Block 3047, Block Group 3, Census Tract 1101, Bexar County, Texas"
480291101003048,"Block 3048, Block Group 3, Census Tract 1101, Bexar County, Texas"
480291101003049,"Block 3049, Block Group 3, Census Tract 1101, Bexar County, Texas"
480291101003050,"Block 3050, Block Group 3, Census Tract 1101, Bexar County, Texas"
480291101003051,"Block 3051, Block Group 3, Census Tract 1101, Bexar County, Texas"
480291101003052,"Block 3052, Block Group 3, Census Tract 1101, Bexar County, Texas"
480291101003053,"Block 3053, Block Group 3, Census Tract 1101, Bexar County, Texas"
480291101003054,"Block 3054, Block Group 3, Census Tract 1101, Bexar County, Texas"
480291101003055,"Block 3055, Block Group 3, Census Tract 1101, Bexar County, Texas"
480291101003056,"Block 3056, Block Group 3, Census Tract 1101, Bexar County, Texas"
480291101003057,"Block 3057, Block Group 3, Census Tract 1101, Bexar County, Texas"
480291101003058,"Block 3058, Block Group 3, Census Tract 1101, Bexar County, Texas"
480291101003059,"Block 3059, Block Group 3, Census Tract 1101, Bexar County, Texas"
480291101003060,"Block 3060, Block Group 3, Census Tract 1101, Bexar County, Texas"
480291101003061,"Block 3061, Block Group 3, Census Tract 1101, Bexar County, Texas"
480291101003062,"Block 3062, Block Group 3, Census Tract 1101, Bexar County, Texas"
480291101003063,"Block 3063, Block Group 3, Census Tract 1101, Bexar County, Texas"
480291101003064,"Block 3064, Block Group 3, Census Tract 1101, Bexar County, Texas"
480291101003065,"Block 3065, Block Group 3, Census Tract 1101, Bexar County, Texas"
480291101003066,"Block 3066, Block Group 3, Census Tract 1101, Bexar County, Texas"
480291101003067,"Block 3067, Block Group 3, Census Tract 1101, Bexar County, Texas"
480291101003068,"Block 3068, Block Group 3, Census Tract 1101, Bexar County, Texas"
480291101003069,"Block 3069, Block Group 3, Census Tract 1101, Bexar County, Texas"
480291103001000,"Block 1000, Block Group 1, Census Tract 1103, Bexar County, Texas"
480291103001001,"Block 1001, Block Group 1, Census Tract 1103, Bexar County, Texas"
480291103001002,"Block 1002, Block Group 1, Census Tract 1103, Bexar County, Texas"
480291103001003,"Block 1003, Block Group 1, Census Tract 1103, Bexar County, Texas"
480291103001004,"Block 1004, Block Group 1, Census Tract 1103, Bexar County, Texas"
480291103001005,"Block 1005, Block Group 1, Census Tract 1103, Bexar County, Texas"
480291103001006,"Block 1006, Block Group 1, Census Tract 1103, Bexar County, Texas"
480291103001007,"Block 1007, Block Group 1, Census Tract 1103, Bexar County, Texas"
480291103001008,"Block 1008, Block Group 1, Census Tract 1103, Bexar County, Texas"
480291103001009,"Block 1009, Block Group 1, Census Tract 1103, Bexar County, Texas"
480291103001010,"Block 1010, Block Group 1, Census Tract 1103, Bexar County, Texas"
480291103001011,"Block 1011, Block Group 1, Census Tract 1103, Bexar County, Texas"
480291103001012,"Block 1012, Block Group 1, Census Tract 1103, Bexar County, Texas"
480291103001013,"Block 1013, Block Group 1, Census Tract 1103, Bexar County, Texas"
480291103001014,"Block 1014, Block Group 1, Census Tract 1103, Bexar County, Texas"
480291103001015,"Block 1015, Block Group 1, Census Tract 1103, Bexar County, Texas"
480291103001016,"Block 1016, Block Group 1, Census Tract 1103, Bexar County, Texas"
480291103001017,"Block 1017, Block Group 1, Census Tract 1103, Bexar County, Texas"
480291103001018,"Block 1018, Block Group 1, Census Tract 1103, Bexar County, Texas"
480291103001019,"Block 1019, Block Group 1, Census Tract 1103, Bexar County, Texas"
480291103001020,"Block 1020, Block Group 1, Census Tract 1103, Bexar County, Texas"
480291103001021,"Block 1021, Block Group 1, Census Tract 1103, Bexar County, Texas"
480291103001022,"Block 1022, Block Group 1, Census Tract 1103, Bexar County, Texas"
480291103001023,"Block 1023, Block Group 1, Census Tract 1103, Bexar County, Texas"
480291103001024,"Block 1024, Block Group 1, Census Tract 1103, Bexar County, Texas"
480291103002000,"Block 2000, Block Group 2, Census Tract 1103, Bexar County, Texas"
480291103002001,"Block 2001, Block Group 2, Census Tract 1103, Bexar County, Texas"
480291103002002,"Block 2002, Block Group 2, Census Tract 1103, Bexar County, Texas"
480291103002003,"Block 2003, Block Group 2, Census Tract 1103, Bexar County, Texas"
480291103002004,"Block 2004, Block Group 2, Census Tract 1103, Bexar County, Texas"
480291103002005,"Block 2005, Block Group 2, Census Tract 1103, Bexar County, Texas"
480291103002006,"Block 2006, Block Group 2, Census Tract 1103, Bexar County, Texas"
480291103002007,"Block 2007, Block Group 2, Census Tract 1103, Bexar County, Texas"
480291103002008,"Block 2008, Block Group 2, Census Tract 1103, Bexar County, Texas"
480291103002009,"Block 2009, Block Group 2, Census Tract 1103, Bexar County, Texas"
480291103002010,"Block 2010, Block Group 2, Census Tract 1103, Bexar County, Texas"
480291103002011,"Block 2011, Block Group 2, Census Tract 1103, Bexar County, Texas"
480291103002012,"Block 2012, Block Group 2, Census Tract 1103, Bexar County, Texas"
480291103002013,"Block 2013, Block Group 2, Census Tract 1103, Bexar County, Texas"
480291103002014,"Block 2014, Block Group 2, Census Tract 1103, Bexar County, Texas"
480291103002015,"Block 2015, Block Group 2, Census Tract 1103, Bexar County, Texas"
480291103002016,"Block 2016, Block Group 2, Census Tract 1103, Bexar County, Texas"
480291103002017,"Block 2017, Block Group 2, Census Tract 1103, Bexar County, Texas"
480291103002018,"Block 2018, Block Group 2, Census Tract 1103, Bexar County, Texas"
480291103002019,"Block 2019, Block Group 2, Census Tract 1103, Bexar County, Texas"
480291103002020,"Block 2020, Block Group 2, Census Tract 1103, Bexar County, Texas"
480291103002021,"Block 2021, Block Group 2, Census Tract 1103, Bexar County, Texas"
480291103002022,"Block 2022, Block Group 2, Census Tract 1103, Bexar County, Texas"
480291103002023,"Block 2023, Block Group 2, Census Tract 1103, Bexar County, Texas"
480291103002024,"Block 2024, Block Group 2, Census Tract 1103, Bexar County, Texas"
480291103003000,"Block 3000, Block Group 3, Census Tract 1103, Bexar County, Texas"
480291103003001,"Block 3001, Block Group 3, Census Tract 1103, Bexar County, Texas"
480291103003002,"Block 3002, Block Group 3, Census Tract 1103, Bexar County, Texas"
480291103003003,"Block 3003, Block Group 3, Census Tract 1103, Bexar County, Texas"
480291103003004,"Block 3004, Block Group 3, Census Tract 1103, Bexar County, Texas"
480291103003005,"Block 3005, Block Group 3, Census Tract 1103, Bexar County, Texas"
480291103003006,"Block 3006, Block Group 3, Census Tract 1103, Bexar County, Texas"
480291103003007,"Block 3007, Block Group 3, Census Tract 1103, Bexar County, Texas"
480291103003008,"Block 3008, Block Group 3, Census Tract 1103, Bexar County, Texas"
480291103003009,"Block 3009, Block Group 3, Census Tract 1103, Bexar County, Texas"
480291103003010,"Block 3010, Block Group 3, Census Tract 1103, Bexar County, Texas"
480291103003011,"Block 3011, Block Group 3, Census Tract 1103, Bexar County, Texas"
480291103003012,"Block 3012, Block Group 3, Census Tract 1103, Bexar County, Texas"
480291103003013,"Block 3013, Block Group 3, Census Tract 1103, Bexar County, Texas"
480291103003014,"Block 3014, Block Group 3, Census Tract 1103, Bexar County, Texas"
480291103003015,"Block 3015, Block Group 3, Census Tract 1103, Bexar County, Texas"
480291103003016,"Block 3016, Block Group 3, Census Tract 1103, Bexar County, Texas"
480291103003017,"Block 3017, Block Group 3, Census Tract 1103, Bexar County, Texas"
480291103003018,"Block 3018, Block Group 3, Census Tract 1103, Bexar County, Texas"
480291103003019,"Block 3019, Block Group 3, Census Tract 1103, Bexar County, Texas"
480291103003020,"Block 3020, Block Group 3, Census Tract 1103, Bexar County, Texas"
480291103003021,"Block 3021, Block Group 3, Census Tract 1103, Bexar County, Texas"
480291103003022,"Block 3022, Block Group 3, Census Tract 1103, Bexar County, Texas"
480291103003023,"Block 3023, Block Group 3, Census Tract 1103, Bexar County, Texas"
480291103003024,"Block 3024, Block Group 3, Census Tract 1103, Bexar County, Texas"
480291103003025,"Block 3025, Block Group 3, Census Tract 1103, Bexar County, Texas"
480291103003026,"Block 3026, Block Group 3, Census Tract 1103, Bexar County, Texas"
480291103003027,"Block 3027, Block Group 3, Census Tract 1103, Bexar County, Texas"
480291103003028,"Block 3028, Block Group 3, Census Tract 1103, Bexar County, Texas"
480291103003029,"Block 3029, Block Group 3, Census Tract 1103, Bexar County, Texas"
480291103003030,"Block 3030, Block Group 3, Census Tract 1103, Bexar County, Texas"
480291103003031,"Block 3031, Block Group 3, Census Tract 1103, Bexar County, Texas"
480291103003032,"Block 3032, Block Group 3, Census Tract 1103, Bexar County, Texas"
480291103003033,"Block 3033, Block Group 3, Census Tract 1103, Bexar County, Texas"
480291103003034,"Block 3034, Block Group 3, Census Tract 1103, Bexar County, Texas"
480291105001000,"Block 1000, Block Group 1, Census Tract 1105, Bexar County, Texas"
480291105001001,"Block 1001, Block Group 1, Census Tract 1105, Bexar County, Texas"
480291105001002,"Block 1002, Block Group 1, Census Tract 1105, Bexar County, Texas"
480291105001003,"Block 1003, Block Group 1, Census Tract 1105, Bexar County, Texas"
480291105001004,"Block 1004, Block Group 1, Census Tract 1105, Bexar County, Texas"
480291105001005,"Block 1005, Block Group 1, Census Tract 1105, Bexar County, Texas"
480291105001006,"Block 1006, Block Group 1, Census Tract 1105, Bexar County, Texas"
480291105001007,"Block 1007, Block Group 1, Census Tract 1105, Bexar County, Texas"
480291105001008,"Block 1008, Block Group 1, Census Tract 1105, Bexar County, Texas"
480291105001009,"Block 1009, Block Group 1, Census Tract 1105, Bexar County, Texas"
480291105001010,"Block 1010, Block Group 1, Census Tract 1105, Bexar County, Texas"
480291105001011,"Block 1011, Block Group 1, Census Tract 1105, Bexar County, Texas"
480291105001012,"Block 1012, Block Group 1, Census Tract 1105, Bexar County, Texas"
